Date,Open,High,Low,Close,Adj Close,Volume
2014-02-25,333.825012,338.812012,333.825012,335.399994,266.904358,115811
2014-02-26,334.649994,338.212006,330.000000,330.450012,262.965210,238740
2014-02-28,330.450012,345.000000,330.000000,341.662994,271.888275,753432
2014-03-03,340.125000,345.037994,337.575012,338.475006,269.351349,120463
2014-03-04,339.750000,344.250000,333.750000,342.112000,272.245605,170223
2014-03-05,342.750000,355.125000,342.149994,354.000000,281.705811,613337
2014-03-06,351.149994,360.750000,348.562012,357.299988,284.331879,314176
2014-03-07,355.537994,369.000000,355.537994,365.062012,290.508759,566093
2014-03-10,364.875000,370.350006,357.299988,367.087006,292.120209,581973
2014-03-11,361.687988,368.250000,354.037994,356.587006,283.764526,415263
2014-03-12,354.825012,356.212006,349.200012,350.812012,279.168854,265251
2014-03-13,352.350006,366.000000,352.350006,360.149994,286.599854,884452
2014-03-14,360.037994,363.600006,354.450012,360.112000,286.569580,285303
2014-03-18,360.112000,370.500000,356.062012,366.225006,291.434235,441692
2014-03-19,367.875000,371.250000,363.750000,365.250000,290.658325,377675
2014-03-20,361.162994,367.350006,357.149994,360.225006,286.659546,262224
2014-03-21,360.000000,363.375000,356.250000,358.274994,285.107727,663611
2014-03-22,null,null,null,null,null,null
2014-03-24,364.462006,364.462006,359.287994,361.649994,287.793488,469700
2014-03-25,357.000000,359.250000,351.263000,353.700012,281.467102,672821
2014-03-26,347.437988,362.250000,347.437988,361.687988,296.198029,464252
2014-03-27,362.250000,363.674988,349.763000,357.638000,292.881378,454056
2014-03-28,357.225006,364.125000,357.225006,359.662994,294.539734,287303
2014-03-31,359.962006,366.375000,359.625000,363.037994,297.303589,415164
2014-04-01,363.299988,371.250000,357.000000,369.149994,302.308929,462563
2014-04-02,371.062012,375.000000,367.350006,368.250000,301.571869,326345
2014-04-03,369.000000,371.024994,363.112000,367.837006,301.233673,449623
2014-04-04,367.500000,367.912994,353.250000,362.362000,296.750000,2828173
2014-04-07,362.362000,367.424988,357.000000,362.737000,297.057098,397697
2014-04-09,362.737000,370.500000,362.362000,367.049988,300.589142,586821
2014-04-10,364.013000,370.763000,359.250000,363.112000,297.364197,1047807
2014-04-11,360.937988,366.299988,360.075012,362.662994,296.996490,744699
2014-04-15,362.662994,363.750000,358.125000,361.388000,295.952362,672285
2014-04-16,359.325012,362.100006,355.500000,356.287994,291.775818,350123
2014-04-17,357.750000,360.000000,354.000000,358.274994,293.403015,583164
2014-04-21,358.274994,364.087006,358.274994,361.462006,296.012939,677763
2014-04-22,363.000000,373.462006,360.375000,370.087006,303.076294,844077
2014-04-23,372.674988,377.737000,367.950012,370.087006,303.076294,987464
2014-04-24,370.087006,370.087006,370.087006,370.087006,303.076294,0
2014-04-25,369.000000,378.000000,368.362000,371.062012,303.874725,397680
2014-04-28,371.062012,375.899994,368.362000,369.825012,302.861725,415337
2014-04-29,371.250000,373.987000,363.750000,365.625000,299.422180,151411
2014-04-30,364.125000,368.513000,353.250000,357.937988,293.127045,724301
2014-05-02,357.937988,364.049988,356.362000,361.875000,296.351196,359692
2014-05-05,359.250000,366.337006,356.399994,361.837006,296.320068,303061
2014-05-06,360.975006,365.475006,360.975006,363.825012,297.948090,170401
2014-05-07,363.899994,367.687988,362.437988,365.399994,299.237915,358449
2014-05-08,368.962006,369.674988,364.162994,365.924988,299.667847,191724
2014-05-09,367.424988,371.362000,363.825012,370.612000,303.506195,581756
2014-05-12,371.325012,385.500000,371.287994,383.174988,313.794434,1000588
2014-05-13,385.875000,408.000000,385.875000,402.899994,329.947845,1089169
2014-05-14,399.000000,415.763000,399.000000,413.138000,338.332123,400609
2014-05-15,412.500000,420.000000,406.125000,411.524994,337.011169,462259
2014-05-16,416.250000,431.287994,406.725006,425.287994,348.282135,1062980
2014-05-19,427.500000,460.500000,427.500000,453.112000,371.068146,1395563
2014-05-20,458.737000,461.024994,442.537994,449.587006,368.181427,491595
2014-05-21,448.500000,462.862000,438.750000,455.062012,372.665070,529851
2014-05-22,462.000000,475.350006,461.250000,464.174988,380.127960,838611
2014-05-23,471.750000,471.750000,453.862000,461.437988,377.886536,373323
2014-05-26,454.875000,469.500000,450.000000,455.850006,373.310333,778787
2014-05-27,455.625000,455.850006,428.475006,434.250000,355.621460,327661
2014-05-28,423.674988,428.250000,419.024994,426.000000,348.865234,554321
2014-05-29,425.850006,427.237000,414.225006,417.000000,341.494843,460097
2014-05-30,417.225006,430.875000,416.325012,427.537994,350.124725,877228
2014-06-02,431.174988,434.250000,421.125000,430.649994,352.673279,501361
2014-06-03,430.649994,437.774994,426.000000,429.412994,351.660187,392725
2014-06-04,427.537994,435.000000,420.149994,421.575012,345.241455,340593
2014-06-05,420.149994,435.000000,418.649994,430.087006,352.212219,988361
2014-06-06,434.250000,457.799988,434.250000,446.962006,366.031708,2223215
2014-06-09,457.649994,465.825012,453.750000,456.787994,374.078522,1151591
2014-06-10,458.250000,461.250000,444.825012,445.950012,365.202942,537952
2014-06-11,446.250000,459.712006,443.250000,446.662994,365.786804,825488
2014-06-12,445.500000,459.487000,444.937988,457.350006,374.538757,1291939
2014-06-13,453.937988,459.000000,434.513000,441.674988,361.701935,701201
2014-06-16,438.825012,453.487000,425.325012,448.013000,366.892395,737619
2014-06-17,448.013000,461.250000,441.112000,452.475006,370.546478,1002349
2014-06-18,457.500000,464.850006,443.325012,446.513000,365.664001,1177029
2014-06-19,447.750000,448.500000,417.075012,421.013000,344.781219,1562076
2014-06-20,429.450012,432.000000,423.750000,425.924988,348.803802,789975
2014-06-23,426.187988,444.000000,421.312012,439.612000,360.012512,667401
2014-06-24,444.000000,451.388000,439.500000,448.200012,367.045532,904571
2014-06-25,450.000000,452.250000,438.825012,440.924988,361.087769,531693
2014-06-26,426.450012,431.250000,418.500000,428.513000,350.923157,952403
2014-06-27,427.537994,436.875000,427.537994,430.799988,352.796082,357527
2014-06-30,431.700012,442.274994,431.700012,440.737000,360.933807,543807
2014-07-01,444.375000,445.875000,438.750000,443.475006,363.176086,552573
2014-07-02,444.750000,447.638000,436.500000,441.600006,361.640594,490845
2014-07-03,445.875000,446.062012,440.625000,442.950012,362.746155,434940
2014-07-04,441.750000,444.975006,433.912994,437.513000,358.293579,347136
2014-07-07,441.712006,441.712006,431.812012,436.049988,357.095520,514868
2014-07-08,438.750000,441.000000,426.075012,428.399994,350.830627,367749
2014-07-09,430.125000,437.250000,427.875000,430.237000,352.335052,401984
2014-07-10,427.649994,443.250000,427.649994,436.612000,357.555695,1010899
2014-07-11,436.500000,440.100006,427.575012,428.812012,351.168091,813936
2014-07-14,431.024994,431.287994,420.037994,429.149994,351.444855,204369
2014-07-15,429.787994,438.674988,429.787994,435.712006,356.818756,342592
2014-07-16,441.375000,442.125000,432.112000,434.662994,355.959686,296213
2014-07-17,434.850006,438.562012,429.862000,434.174988,355.560028,265031
2014-07-18,433.462006,435.712006,428.250000,430.462006,352.519318,319796
2014-07-21,431.287994,434.625000,429.000000,432.487000,354.177643,293693
2014-07-22,434.549988,437.812012,429.000000,435.975006,357.034088,229249
2014-07-23,436.725006,438.375000,430.725006,434.924988,356.174194,222540
2014-07-24,438.712006,438.712006,432.337006,435.037994,356.266754,461071
2014-07-25,435.750000,438.375000,430.649994,436.875000,357.771088,358231
2014-07-28,432.750000,437.362000,430.912994,431.549988,353.410278,472743
2014-07-30,431.549988,436.350006,423.075012,424.987000,348.035645,1144029
2014-07-31,425.024994,428.212006,421.500000,423.750000,347.022583,1110777
2014-08-01,420.000000,426.112000,420.000000,423.862000,347.114349,318431
2014-08-04,423.750000,431.250000,421.500000,427.087006,349.755402,514419
2014-08-05,426.750000,431.174988,424.462006,429.299988,351.567657,132585
2014-08-06,427.500000,438.674988,426.075012,433.799988,355.252899,163097
2014-08-07,431.437988,437.250000,431.437988,433.500000,355.007233,174409
2014-08-08,431.250000,431.250000,420.000000,423.975006,347.206940,221101
2014-08-11,426.000000,427.500000,420.075012,425.250000,348.250977,140275
